Tlin11583-RA	f47b2e8d038368e3bf39ba79d1364618	90	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	62	84	-	T	19-02-2024	-	-
Tlin11583-RA	f47b2e8d038368e3bf39ba79d1364618	90	SUPERFAMILY	SSF81419	Mitochondrial cytochrome c oxidase subunit VIIa	37	89	3.14E-12	T	19-02-2024	IPR036539	Cytochrome c oxidase, subunit VIIa superfamily	GO:0005751|GO:0006123
Tlin11583-RA	f47b2e8d038368e3bf39ba79d1364618	90	Gene3D	G3DSA:4.10.91.10	Cytochrome c oxidase, subunit VIIa	36	90	4.3E-15	T	19-02-2024	IPR036539	Cytochrome c oxidase, subunit VIIa superfamily	GO:0005751|GO:0006123
Tlin13401-RA	1642452be7cd5957cdcb7482c68debd2	277	PANTHER	PTHR33223	CCHC-TYPE DOMAIN-CONTAINING PROTEIN	5	266	5.5E-15	T	19-02-2024	-	-
Tlin09239-RA	2ffed02fda4c476e8f3546a6274ab254	394	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	250	272	-	T	19-02-2024	-	-
Tlin09239-RA	2ffed02fda4c476e8f3546a6274ab254	394	PANTHER	PTHR13462	CALCIUM UNIPORTER PROTEIN, MITOCHONDRIAL	63	350	6.5E-55	T	19-02-2024	IPR039055	MCU family	GO:0051560
Tlin09239-RA	2ffed02fda4c476e8f3546a6274ab254	394	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	282	301	-	T	19-02-2024	-	-
Tlin09239-RA	2ffed02fda4c476e8f3546a6274ab254	394	Pfam	PF04678	Mitochondrial calcium uniporter	134	336	6.5E-60	T	19-02-2024	IPR006769	Calcium uniporter protein, C-terminal	-
Tlin13713-RA	934c2c827c3b932fa62807beeaf6b017	440	CDD	cd11056	CYP6-like	70	431	6.0987E-119	T	19-02-2024	-	-
Tlin13713-RA	934c2c827c3b932fa62807beeaf6b017	440	SUPERFAMILY	SSF48264	Cytochrome P450	36	369	1.83E-54	T	19-02-2024	IPR036396	Cytochrome P450 superfamily	GO:0004497|GO:0005506|GO:0016705|GO:0020037
Tlin13713-RA	934c2c827c3b932fa62807beeaf6b017	440	Gene3D	G3DSA:1.10.630.10	Cytochrome P450	15	369	2.4E-62	T	19-02-2024	IPR036396	Cytochrome P450 superfamily	GO:0004497|GO:0005506|GO:0016705|GO:0020037
Tlin13713-RA	934c2c827c3b932fa62807beeaf6b017	440	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	2	19	-	T	19-02-2024	-	-
Tlin13713-RA	934c2c827c3b932fa62807beeaf6b017	440	PANTHER	PTHR24292	CYTOCHROME P450	3	369	1.5E-101	T	19-02-2024	-	-
Tlin13713-RA	934c2c827c3b932fa62807beeaf6b017	440	Pfam	PF00067	Cytochrome P450	69	369	1.5E-43	T	19-02-2024	IPR001128	Cytochrome P450	GO:0004497|GO:0005506|GO:0016705|GO:0020037
Tlin05483-RA	e7328705147d6bf2df574f87e5f2c8c2	156	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	38	60	-	T	19-02-2024	-	-
Tlin05483-RA	e7328705147d6bf2df574f87e5f2c8c2	156	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	75	97	-	T	19-02-2024	-	-
Tlin05483-RA	e7328705147d6bf2df574f87e5f2c8c2	156	Pfam	PF03134	TB2/DP1, HVA22 family	62	129	2.7E-24	T	19-02-2024	IPR004345	TB2/DP1/HVA22-related protein	-
Tlin05483-RA	e7328705147d6bf2df574f87e5f2c8c2	156	PANTHER	PTHR12300	HVA22-LIKE PROTEINS	64	144	8.4E-24	T	19-02-2024	IPR004345	TB2/DP1/HVA22-related protein	-
Tlin04053-RA	f18e23394b7e396e90878c972b17d679	581	Pfam	PF01697	Glycosyltransferase family 92	285	543	3.1E-48	T	19-02-2024	IPR008166	Glycosyltransferase family 92	-
Tlin04053-RA	f18e23394b7e396e90878c972b17d679	581	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	12	34	-	T	19-02-2024	-	-
Tlin04053-RA	f18e23394b7e396e90878c972b17d679	581	PANTHER	PTHR21461	UNCHARACTERIZED	67	537	1.1E-42	T	19-02-2024	-	-
Tlin05077-RA	dedf14cc8c4a3c1f743e20db88502a9f	61	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	4	26	-	T	19-02-2024	-	-
Tlin09139-RA	1c59b8e60e5bbc6d46e475512719595f	303	SUPERFAMILY	SSF48726	Immunoglobulin	74	158	2.12E-16	T	19-02-2024	IPR036179	Immunoglobulin-like domain superfamily	-
Tlin09139-RA	1c59b8e60e5bbc6d46e475512719595f	303	PANTHER	PTHR23279	DEFECTIVE PROBOSCIS EXTENSION RESPONSE  DPR -RELATED	39	299	3.7E-80	T	19-02-2024	IPR037448	Zwei Ig domain protein zig-8	-
Tlin09139-RA	1c59b8e60e5bbc6d46e475512719595f	303	Gene3D	G3DSA:2.60.40.10	Immunoglobulins	173	268	9.7E-6	T	19-02-2024	IPR013783	Immunoglobulin-like fold	-
Tlin09139-RA	1c59b8e60e5bbc6d46e475512719595f	303	Pfam	PF07679	Immunoglobulin I-set domain	76	156	6.7E-12	T	19-02-2024	IPR013098	Immunoglobulin I-set	-
Tlin09139-RA	1c59b8e60e5bbc6d46e475512719595f	303	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	285	302	-	T	19-02-2024	-	-
Tlin09139-RA	1c59b8e60e5bbc6d46e475512719595f	303	SUPERFAMILY	SSF48726	Immunoglobulin	194	258	1.31E-5	T	19-02-2024	IPR036179	Immunoglobulin-like domain superfamily	-
Tlin09139-RA	1c59b8e60e5bbc6d46e475512719595f	303	Gene3D	G3DSA:2.60.40.10	Immunoglobulins	65	172	3.2E-35	T	19-02-2024	IPR013783	Immunoglobulin-like fold	-
Tlin08076-RA	3de76041a763b1655c86b3140f7551fb	848	SUPERFAMILY	SSF48371	ARM repeat	164	403	8.06E-66	T	19-02-2024	IPR016024	Armadillo-type fold	-
Tlin08076-RA	3de76041a763b1655c86b3140f7551fb	848	PANTHER	PTHR18034	CELL CYCLE CONTROL PROTEIN CWF22-RELATED	8	694	2.5E-195	T	19-02-2024	-	-
Tlin08076-RA	3de76041a763b1655c86b3140f7551fb	848	Gene3D	G3DSA:1.25.40.180	-	129	420	2.3E-96	T	19-02-2024	-	-
Tlin08076-RA	3de76041a763b1655c86b3140f7551fb	848	Pfam	PF02847	MA3 domain	469	574	4.6E-26	T	19-02-2024	IPR003891	Initiation factor eIF-4 gamma, MA3	-
Tlin05950-RA	3bffe8e131da74c827b83de79a3eb766	441	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	65	87	-	T	19-02-2024	-	-
Tlin05950-RA	3bffe8e131da74c827b83de79a3eb766	441	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	226	248	-	T	19-02-2024	-	-
Tlin05950-RA	3bffe8e131da74c827b83de79a3eb766	441	PANTHER	PTHR24229	NEUROPEPTIDES RECEPTOR	11	373	6.7E-91	T	19-02-2024	-	-
Tlin05950-RA	3bffe8e131da74c827b83de79a3eb766	441	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	278	300	-	T	19-02-2024	-	-
Tlin05950-RA	3bffe8e131da74c827b83de79a3eb766	441	ProSitePatterns	PS00237	G-protein coupled receptors family 1 signature.	112	128	-	T	19-02-2024	IPR000276	G protein-coupled receptor, rhodopsin-like	GO:0004930|GO:0007186|GO:0016020
Tlin05950-RA	3bffe8e131da74c827b83de79a3eb766	441	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	315	337	-	T	19-02-2024	-	-
Tlin05950-RA	3bffe8e131da74c827b83de79a3eb766	441	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	140	162	-	T	19-02-2024	-	-
Tlin05950-RA	3bffe8e131da74c827b83de79a3eb766	441	Gene3D	G3DSA:1.20.1070.10	-	1	364	2.3E-78	T	19-02-2024	-	-
Tlin05950-RA	3bffe8e131da74c827b83de79a3eb766	441	Pfam	PF00001	7 transmembrane receptor (rhodopsin family)	44	333	6.0E-52	T	19-02-2024	IPR000276	G protein-coupled receptor, rhodopsin-like	GO:0004930|GO:0007186|GO:0016020
Tlin05950-RA	3bffe8e131da74c827b83de79a3eb766	441	SUPERFAMILY	SSF81321	Family A G protein-coupled receptor-like	1	354	7.87E-71	T	19-02-2024	-	-
Tlin05950-RA	3bffe8e131da74c827b83de79a3eb766	441	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	30	52	-	T	19-02-2024	-	-
Tlin05950-RA	3bffe8e131da74c827b83de79a3eb766	441	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	102	119	-	T	19-02-2024	-	-
Tlin14312-RA	032519c74937ee15494949302610f6d2	624	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	582	604	-	T	19-02-2024	-	-
Tlin14312-RA	032519c74937ee15494949302610f6d2	624	PANTHER	PTHR42643	IONOTROPIC RECEPTOR 20A-RELATED	123	620	1.1E-22	T	19-02-2024	-	-
Tlin14312-RA	032519c74937ee15494949302610f6d2	624	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	323	345	-	T	19-02-2024	-	-
Tlin14312-RA	032519c74937ee15494949302610f6d2	624	Gene3D	G3DSA:1.10.287.70	-	314	438	8.6E-11	T	19-02-2024	-	-
Tlin14312-RA	032519c74937ee15494949302610f6d2	624	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	389	411	-	T	19-02-2024	-	-
Tlin14312-RA	032519c74937ee15494949302610f6d2	624	SUPERFAMILY	SSF53850	Periplasmic binding protein-like II	224	562	8.68E-8	T	19-02-2024	-	-
Tlin03079-RA	db2cdd8ad52f1c3ee15756df241d6901	84	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	47	69	-	T	19-02-2024	-	-
Tlin13198-RA	fe997ed734b2c425a05d04269179d337	119	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	9	28	-	T	19-02-2024	-	-
Tlin00099-RA	c2402171f0a0b8668a1f37a9bbe00c11	167	PANTHER	PTHR31996	COILED-COIL DOMAIN-CONTAINING PROTEIN 115	103	151	2.4E-14	T	19-02-2024	IPR040357	Vma22/CCDC115	GO:0070072
Tlin00099-RA	c2402171f0a0b8668a1f37a9bbe00c11	167	Gene3D	G3DSA:1.10.287.3240	-	10	159	2.8E-6	T	19-02-2024	-	-
Tlin12121-RA	d90b88e6be4e41082ac8c423936fd506	1144	Gene3D	G3DSA:1.10.10.10	-	166	247	2.2E-26	T	19-02-2024	IPR036388	Winged helix-like DNA-binding domain superfamily	-
Tlin12121-RA	d90b88e6be4e41082ac8c423936fd506	1144	SUPERFAMILY	SSF46785	"Winged helix" DNA-binding domain	173	264	7.71E-28	T	19-02-2024	IPR036390	Winged helix DNA-binding domain superfamily	-
Tlin12121-RA	d90b88e6be4e41082ac8c423936fd506	1144	CDD	cd08031	LARP_4_5_like	187	253	6.95958E-42	T	19-02-2024	-	-
Tlin12121-RA	d90b88e6be4e41082ac8c423936fd506	1144	Gene3D	G3DSA:3.30.70.330	-	248	337	2.5E-5	T	19-02-2024	IPR012677	Nucleotide-binding alpha-beta plait domain superfamily	-
Tlin12121-RA	d90b88e6be4e41082ac8c423936fd506	1144	SUPERFAMILY	SSF54928	RNA-binding domain, RBD	252	339	5.64E-7	T	19-02-2024	IPR035979	RNA-binding domain superfamily	GO:0003676
Tlin12121-RA	d90b88e6be4e41082ac8c423936fd506	1144	PANTHER	PTHR22792	LUPUS LA PROTEIN-RELATED	93	520	2.7E-72	T	19-02-2024	IPR045180	La domain containing protein	-
Tlin12121-RA	d90b88e6be4e41082ac8c423936fd506	1144	Pfam	PF05383	La domain	184	238	1.3E-20	T	19-02-2024	IPR006630	La-type HTH domain	-
Tlin12121-RA	d90b88e6be4e41082ac8c423936fd506	1144	CDD	cd12430	RRM_LARP4_5_like	258	333	7.78961E-45	T	19-02-2024	-	-
Tlin03725-RA	b4cfc0930a325c1ca9772c79d068d794	1890	CDD	cd00096	Ig	246	313	2.04483E-5	T	19-02-2024	-	-
Tlin03725-RA	b4cfc0930a325c1ca9772c79d068d794	1890	Gene3D	G3DSA:2.60.40.10	Immunoglobulins	649	725	3.2E-10	T	19-02-2024	IPR013783	Immunoglobulin-like fold	-
Tlin03725-RA	b4cfc0930a325c1ca9772c79d068d794	1890	SUPERFAMILY	SSF48726	Immunoglobulin	532	726	1.43E-13	T	19-02-2024	IPR036179	Immunoglobulin-like domain superfamily	-
